word,reading,meaning,,source,,related
殊塗同帰,しゅとどうき,手段や方法など道筋は違っていても、結果や結論は同じところにたどり着くこと。 「殊塗」は異なる道筋のこと。 「同帰」は同じところに状態や結果が落ち着くこと。 「同帰殊塗」ともいう。,同帰殊塗（どうきしゅと）,『易経』「繋辞伝・下」,３,異路同帰（いろどうき）
酒入舌出,しゅにゅうぜっしゅつ,酒に酔いすぎると口数が多くなって、失言する恐れがあるということを戒めた言葉。 中国の春秋時代の斉の桓公は、大臣たちに酒を振る舞った時に、宰相の管仲は半分ほど飲んで捨てたのを見て、それを咎めると、「酒に深く酔うと失言する恐れがあり、失言して身を捨てるよりは酒を捨てるほうがよい」と答えたという故事から。 「酒入れば下出ず」とも読む。,,『説苑』「敬慎」,,
酒嚢飯袋,しゅのうはんたい,能力も知識もない人のこと。 「嚢」は袋のこと。 酒を入れる袋と飯をいれる袋という意味から。 飯を食い、酒を飲むだけの何の役にも立たない人のことをいう。,,,準１,酒甕飯嚢（しゅおうはんのう） 無芸大食（むげいたいしょく）
手舞足踏,しゅぶそくとう,うれしくて小躍りして喜ぶこと。 「手舞」は手を動かして踊ること。 「足踏」は地面を踏んで音を出すこと。 どちらも踊りを言い表す言葉。 「手の舞い足の踏むを知らず」を略した言葉。,,『詩経』「周南・関雎・大序」,４,歓天喜地（かんてんきち） 狂喜乱舞（きょうきらんぶ） 欣喜雀躍（きんきじゃくやく）
朱墨爛然,しゅぼくらんぜん,学問や読書に精を出すこと。 「朱墨」は朱色の墨。 「爛然」は鮮やかで美しいこと。 朱色の墨で書物に様々なことを書き込んでいて、鮮やかで美しいという意味から。,,『国朝漢学師承記』「賈田祖」,１,
是生滅法,ぜしょうめっぽう,生きているものは、いずれは確実に死ぬということ。 仏教の言葉で、この世に存在するもので変化しないものはなく、生きているものは確実に滅びるという考え方。,,『大般涅槃経』,３,生者必滅（しょうじゃひつめつ） 諸行無常（しょぎょうむじょう）
節哀順変,せつあいじゅんぺん,悲しみが度を過ぎないように抑えて、時間の経過によって少しずつ和らげていくのがよいということ。 お悔やみの言葉として、中国でよく使われる言葉。 「哀を節するは順いて変ず」とも読む。,,『礼記』「檀弓・下」,,
窃位素餐,せついそさん,高い地位をもっているだけの無駄飯食い。 または、職務を果たさず、無駄に高い給料を得ていることのたとえ。 「窃位」は才能も人徳もないのに高い地位についていること。 「素餐」は何もせずに食べること。,,"『漢書』「朱雲伝」,『論衡』「量知」",準１,尸位素餐（しいそさん） 尸禄素餐（しろくそさん） 伴食宰相（ばんしょくさいしょう） 伴食大臣（ばんしょくだいじん）
雪萼霜葩,せつがくそうは,植物の梅の別名。 「萼」は花のつぼみの外側の部分、がくのこと。 「葩」は花のこと。 雪や霜のように白く、寒さをしのいで花を咲かせるという意味から。,,,１,雪裏清香（せつりせいこう） 氷姿雪魄（ひょうしせっぱく）
損者三友,そんしゃさんゆう,関わらないほうがよい三種類の友人のこと。 「損者」は利益になることがない友人。 「三友」は体裁だけを取り繕う人、口先だけ達者な人、不誠実な人の三種類の友人のこと。 このような人たちと友人になっても損しかないという意味から。,,『論語』「季氏」,５,
樽俎折衝,そんそせっしょう,宴会で穏やかな雰囲気で、交渉が有利になるようにすること。 食事をしながら外交交渉を行うことをいう。 「樽俎」は酒樽と肉料理をのせるための台のことから、豪華な食事のたとえ。 「折衝」は敵の勢いを弱めるということ。または、交渉や駆け引きのことをいう。 「尊俎折衝」とも書く。,尊俎折衝（そんそせっしょう）,『晏子春秋』「内編・雑上」,１,
孫楚漱石,そんそそうせき,自身の失敗や負けを認めようとしないこと。 または、何かにつけて言い訳ばかりすること。 西晋の孫楚が「石に枕し流れに漱ぐ」と言おうとして、「石に漱ぎ流れに枕す」と言い間違え、それを指摘されると、「石で歯を磨いて、流れで耳を洗う」と言い、間違いを認めなかったという故事から。 文豪の夏目漱石の雅号「漱石」は、この故事が由来。,,,１,我田引水（がでんいんすい） 牽強附会（けんきょうふかい） 指鹿為馬（しろくいば） 漱石枕流（そうせきちんりゅう）
尊皇攘夷,そんのうじょうい,政治的な思想の一つで、天皇を崇拝して、他国の勢力を排除しようとすること。 「攘」は追い払うこと。 「夷」は異民族のこと。 元は別々の尊王論と攘夷論の二つが一つになって、江戸時代の討幕運動の中心となった。 「尊王攘夷」とも書く。,尊王攘夷（そんのうじょうい）,,１,
四角四面,しかくしめん,真四角のこと。 または、物事を几帳面に考える真面目な人や、真面目すぎて融通が利かず面白みがない人のこと。 四つの角と面がはっきりとしていることから。,,,,石部金吉（いしべきんきち） 謹厳実直（きんげんじっちょく） 謹言慎行（きんげんしんこう） 杓子定規（しゃくしじょうぎ）
弾丸黒子,だんがんこくし,非常に狭い土地のたとえ。 「弾丸」は小さな鳥を捕獲するために使う弾き弓の小さな玉。 「黒子」はほくろ。 弾き弓の玉や、ほくろのような土地という意味から。 「弾丸黒痣」とも書く。,弾丸黒痣（だんがんこくし）,,４,黒子之地（こくしのち） 尺寸之地（せきすんのち） 弾丸之地（だんがんのち）
弾丸之地,だんがんのち,非常に狭い土地のこと。 「弾丸」は小さな鳥を捕獲するために使う弾き弓の小さな玉のことで、非常に小さいもののたとえ。,,『戦国策』「趙策」,準１,黒子之地（こくしのち） 尺寸之地（せきすんのち） 弾丸黒子（だんがんこくし）
断金之交,だんきんのまじわり（だんきんのこう）,この上なく親密な友情のこと。 「断金」は金属を断ち切ること。 金属を断ち切ることができるほどに固く結ばれた絆という意味から。,断金之交（だんきんのこう）,『易経』,準１,金石之交（きんせきのまじわり） 断金之契（だんきんのちぎり） 断琴之交（だんきんのまじわり） 莫逆之友（ばくぎゃくのとも） 雷陳膠漆（らいちんこうしつ）
断琴之交,だんきんのまじわり（だんきんのこう）,とても親密な友情のこと。 中国の春秋時代の伯牙は、琴の名手として名高く、自分の琴を真に理解してくれる親友である鐘子期が死ぬと、琴の弦を切って二度と琴を弾くことはなかったという故事から。,断琴之交（だんきんのこう）,『列子』「湯問」,,管鮑之交（かんぽうのまじわり） 金石之交（きんせきのまじわり） 古琴之交（こきんのまじわり） 断金之交（だんきんのまじわり） 莫逆之友（ばくぎゃくのとも）
談言微中,だんげんびちゅう,直接ではなく、遠回しに人の急所を突く話し方のこと。 「談言」は話し方。 「微中」はさりげなく相手の重要なところを突くこと。,,『史記』「滑稽伝・論賛」,４,
朝穿暮塞,ちょうせんぼそく,建物を頻繁に壊したり、作ったりすること。 「穿」は穴を掘ること。 朝に穴を掘って、夜にはその穴を塞ぐという意味から。 「朝に穿ち暮れに塞ぐ」とも読む。,,『南斉書』「東昏侯紀」,準１,朝成暮毀（ちょうせいぼき）
長短之説,ちょうたんのせつ,話の内容や状況に合わせて、話し方を変えること。 古代中国の思想家である縦横家の話し方のことで、話を長くしたり短くしたり自在にできたということから。,,『史記』,,
冢中枯骨,ちょうちゅう（の）ここつ,特に目立つ長所がなく、役に立たない人のこと。 「冢」は墓のこと。 墓の中の骨のような人という意味から。 中国の後漢の劉備が徐州の長官を辞退して、袁術に任せようとしたときに、孔融が袁術をあざけって言ったとされる言葉から。,冢中枯骨（ちょうちゅうのここつ）,『三国志』「蜀志・先主伝」,１,
彫虫篆刻,ちょうちゅうてんこく,詩文を作るときに、細かい部分の技巧を必要以上にこだわること。 または、細かい部分の技巧にこだわって飾っただけの内容のない詩文のこと。 「彫」と「刻」はどちらも刻み込むという意味。 「彫虫」は虫に文字を刻み込むこと。または、一説には非常に複雑な書体の虫書のこと。 「篆」は漢字の書体の一つで、非常に複雑な書体。 「篆刻」は木などに篆書の文字を刻み込むこと。 非常に複雑な書体で書いただけの文章という意味から。 「雕虫篆刻」とも書く。,雕虫篆刻（ちょうちゅうてんこく）,『揚子法言』「吾子」,１,咬文嚼字（こうぶんしゃくじ） 雕虫小技（ちょうちゅうのしょうぎ）
喋喋喃喃,ちょうちょうなんなん,男女が小さな声で仲良く話をすること。 または、小さな声で仲良く語り合う様子。 「喋喋」はたくさん喋ること。 「喃喃」は小さな声で話すこと。,喋々喃々（ちょうちょうなんなん）,,１,
自画自賛,じがじさん,「賛」は絵画に添える詩文のこと。 一般的には他人に書いてもらうもので、自分の絵画に自分で賛を書くことから、自分で自分をほめるという意味。,,,５,一分自慢（いちぶじまん） 手前味噌（てまえみそ）
朝朝暮暮,ちょうちょうぼぼ,毎朝毎晩。 「朝朝」は毎朝。 「暮暮」は毎晩。 「暮暮朝朝（暮々朝々）」ともいう。,朝々暮々（ちょうちょうぼぼ） 暮暮朝朝（ぼぼちょうちょう） 暮々朝々（ぼぼちょうちょう）,『文選』宋玉「高唐賦」,４,
天馬行空,てんばこうくう（てんまこうくう）,考え方や行動が自由なこと。 または、詩文や書の筆遣いに勢いがあること。 「天馬」は天帝が乗るとされる、空を駆けることのできる馬。 空を天馬が駆ける様子から。 「天馬空を行く」とも読む。,天馬行空（てんまこうくう）,劉廷振,５,自由奔放（じゆうほんぽう） 不羈奔放（ふきほんぽう）
天罰覿面,てんばつてきめん,悪い行いをすれば、必ず天から罰が下るということ。 「天罰」は天が下す罰のこと。 「覿面」は実際に目撃するということから、すぐに効果が現われるということ。,,,１,悪因悪果（あくいんあっか） 天網恢恢（てんもうかいかい）
天覆地載,てんぷうちさい,広く大きな人徳や慈愛の心のたとえ。 「天覆」は天が上から広くこの世の全てのものを覆うこと。 「地載」は地が下からこの世の全てのものを載せて支えること。 天地が全てのものを包み込むという意味から、様々なことを受け入れる、人としての器量の大きさをいう。,,『中庸』「三一章」,準１,天覆之心（てんぷうのこころ）
天府之国,てんぷのくに,外敵からの攻撃を防ぎやすい地形をしていて、作物がよくできる肥えた土地のこと。 「天府」は人の手が加えられていない、自然にできた倉庫という意味。,,『史記』「留侯世家」,準１,
田父之功,でんぷのこう（でんぽのこう）,争っているもの同士が両方とも倒れて、その争いとは関係ない人が利益を得ること。 「田父」は農夫のこと。 犬が兎を追いかけ続け、両方ともが疲労で死んでしまい、そこを通りかかった農夫が何の苦労もなく両方ともを手に入れたという話から。 古代中国の戦国時代、魏と戦っても秦や楚の国が喜ぶだけで意味はないと、淳于コンが斉の国の王を諭す時にしたたとえ話から。,田父之功（でんぽのこう）,『戦国策』「斉策」,,鷸蚌之争（いつぼうのあらそい） 漁夫之利（ぎょふのり） 田父之獲（でんぷのかく）
蠹居棊処,ときょきしょ,色々なところに悪人がいること。 「蠹」は木を食べる害虫の木食い虫。 「棊」は囲碁の碁盤の上にある碁石。 碁盤の上の碁石のように、木食い虫がたくさんいるという意味から。,,韓愈「潮州刺史謝上表」,１,
得意忘形,とくいぼうけい,芸術などで、精神や本質を大切にして、外形のことを忘れること。 または、気分が舞い上がって、我を忘れること。 「意を得て形を忘る」とも読む。,,『晋書』「阮籍伝」,４,
得意忘言,とくいぼうげん,悟りの境地に至った後には言葉は必要ないということ。 荘子の教えの一つで、言葉は真理に至るため道具でしかないということから。 「意を得て言を忘る」とも読む。,,『荘子』「外物」,４,
匿影蔵形,とくえいぞうけい,物事の本当のことを隠すこと。 「匿」と「蔵」はどちらも隠すという意味。 影も形も、他人に見えないように隠すことから。 「影を匿し形を蔵す」とも読む。 「蔵形匿影」ともいう。,蔵形匿影（ぞうけいとくえい）,,,匿跡潜形（とくせきせんけい）
自家撞着,じかどうちゃく（じかどうじゃく）,同じ人の行動や言動が前後で辻褄が合わないこと。 「自家」は自分自身のこと、「撞着」は辻褄があわないこと、矛盾していること。,自家撞着（じかどうじゃく）,『禅林類聚』 「看経問」,準１,自己撞着（じこどうちゃく） 自己矛盾（じこむじゅん） 矛盾撞着（むじゅんどうちゃく）
独学孤陋,どくがくころう,師匠や友に学ぶ友人もいずに一人で学問をすることは、見識が狭くなり、他人の意見を聞こうとしなくなるということ。 「孤陋」は見識が狭く、考えや態度を変えようとしないこと。 「独学固陋」とも書く。,独学固陋（どくがくころう）,『礼記』「学記」,１,
破綻百出,はたんひゃくしゅつ,喋れば喋るほどぼろが出ること。 「破綻」は布の破れとほころび。 「百」は数が多いことのたとえ。 破れやほころびがたくさん出てくるという意味から。,,,２,
破竹之勢,はちくのいきおい,止めることができないほどの激しい勢いがあること。 植物の竹は、最初の一つ節を割くと、後の節は滞ることなく滑らかに割くことができるということから。,,『北史』「周高祖紀」,準１,一気呵成（いっきかせい） 騎虎之勢（きこのいきおい） 旭日昇天（きょくじつしょうてん） 決河之勢（けっかのいきおい）
八元八凱,はちげんはちがい,高い徳を持っていて、清く正しい心の人物のこと。 「元」は善、「凱」は高い徳。 古代中国の神話上の高辛氏の八人の心の清い人物は「八元」と呼ばれ、高陽氏の八人の高い徳を持つ人物は「八凱」と呼ばれていたという故事から。,,『史記』「五帝紀」,,
馬遅枚速,ばちばいそく,司馬相如は文章を書くことが遅く、枚皐は速かったという故事のこと。 司馬相如と枚皐は、どちらも中国の文章の文体の一つの「賦」の巨匠。,,『漢書』「枚皐伝」,準１,
八面美人,はちめんびじん,人に悪く思われないように、誰かと接するときは愛想良く振る舞い、相手に調子を合わせること。 または、そのような人のこと。 または、誰がどの方向から見ても美しい人のこと。 「八面」は東西南北の四つの方向と、北東、南東、南西、北西の四つの隅を合わせたもののことから、あらゆる方向という意味。 「美人」は容姿が美しいひとのこと。 行動の節操のなさを批判するために使われることが多い言葉。,,,,八面玲瓏（はちめんれいろう） 八方美人（はっぽうびじん）
氷消瓦解,ひょうしょうがかい,物事がばらばらになること。または、完全に無くなること。 氷が解けて消えるように、屋根の瓦の一部分の崩壊から全体が次々と崩れるように、ばらばらになるという意味から。 「氷と消え瓦と解く」とも読む。 「氷」は「冰」、「消」は「銷」とも書く。 「瓦解氷消」ともいう。,冰銷瓦解（ひょうしょうがかい） 瓦解氷消（がかいひょうしょう） 瓦解冰銷（がかいひょうしょう）,『魏書』「出帝平陽王紀」,２,土崩瓦解（どほうがかい） 氷散瓦解（ひょうさんがかい）
庇葉傷枝,ひようしょうし,細かい部分にこだわりすぎて、一番大切な部分を駄目にしてしまうということ。 木の葉を守るために、枝を傷つけるという意味から。 「葉を庇いて枝を傷つく」とも読む。,,『史記』「汲黯伝」,,矯枉過直（きょうおうかちょく） 矯角殺牛（きょうかくさつぎゅう）
豹死留皮,ひょうしりゅうひ,死後に名声を残すこと。 生きている時に功績を上げて、死後に功績と名を残すことをいう。 動物の豹は、死後に美しい毛皮を残すという意味から。 「豹は死して皮を留む」とも読む。,,『新五代史』「王彦章伝」,準１,垂名竹帛（すいめいちくはく） 竹帛之功（ちくはくのこう）
標新立異,ひょうしんりつい,過去に誰も出していない、新しい見解や解釈を出すこと。 「標」は人目につくように、高い位置に持ち上げるという意味。 「新しきを標げ異を立つ」とも読む。,,『世説新語』「文学」,,標新領異（ひょうしんりょうい）
歯牙余論,しがのよろん,少しの言葉や何気ない褒め言葉のこと。 「歯牙」は歯と牙のことから口の端という意味。 「余論」は余った言論のことからちょっとした言葉という意味。,,『南史』,２,
飛鷹走狗,ひようそうく,野生の鳥や獣をとること。 「狗」は狩りに使うための犬、猟犬。 狩猟のために鷹を飛ばして、猟犬を放つという意味から。,,『後漢書』「袁術伝」,準１,
物是人非,ぶつぜじんぴ,自然の景色は変わっていなくても、同じ場所に住んでいる人は変わってしまうということ。 昔の知り合いがいなくなってしまったことをいう言葉。 「物是にして人非なり」とも読む。,,,,
仏足石歌,ぶっそくせきか,奈良の薬師寺にある仏足石歌碑に刻まれた二十一首の歌のこと。 「仏足石」は釈迦の足跡を石に刻んだもの。 仏足石歌体は、短歌に七音の一句を加えて、五・七・五・七・七・七の六句三十八音の形式の歌体。,,,５,
物論囂囂,ぶつろんごうごう,世間のうわさや物議が騒々しく、落ち着かないこと。 「物論」は世間のうわさや物議。 「囂囂」は多くの人が声を出していて騒がしいこと。,物論囂々（ぶつろんごうごう）,,１,物議洶然（ぶつぎきょうぜん） 物議騒然（ぶつぎそうぜん） 物情騒然（ぶつじょうそうぜん）
釜底抽薪,ふていちゅうしん,根本にある原因を取り除かなければ、問題を解決することはできないということ。 火にかけた釜が煮え立たないようにするには、釜の下にある薪を取り出すのがよいという意味から。 「釜底薪を抽く」とも読む。,,,準１,断根枯葉（だんこんこよう） 抽薪止沸（ちゅうしんしふつ） 抜本塞源（ばっぽんそくげん）
普天率土,ふてんそつど（ふてんそっと）,全世界。世界のあらゆる場所。 「普天」は天、天下のこと。 「率土」は大地の果てのこと。 「普」は「敷」「溥」とも書く。,,『詩経』「小雅・北山」,４,率土之浜（そっとのひん）
北門之嘆,ほくもんのたん（ほくもんのなげき）,仕官した先の主人が愚かな人物で、重要な地位につくことができずに嘆くこと。 「北門」は『詩経」の詩の編名。 中国の東晋の李充が家計のために、地位の低い地方官になったときに言ったとされる言葉から。 「北門之歎」とも書く。,北門之嘆（ほくもんのなげき） 北門之歎（ほくもんのたん） 北門之歎（ほくもんのなげき）,『世説新語』「言語」,,
輔車相依,ほしゃそうい,一つが駄目になると、もう一つも駄目になるような、非常に深い関係のこと。 「輔車」は車の添え木と車の荷台。または、頬の骨と下顎の骨のこと。 唇と歯や、頬の骨と下顎の骨のように、互いに助け合うことによって、互いに存続できるような関係をいう言葉。 中国の晋がカクの国を攻めるときに、虞の国は晋に通過する許可を出したが、虞の国と互いに助け合う関係にあったカクの国が滅びると、虞の国も滅びたという故事から。,,,準１,脣歯輔車（しんしほしゃ） 唇亡歯寒（しんぼうしかん）
自家薬籠,じかやくろう,自分の使いたい時に自由に使える物や技術、または人のこと。 「薬籠」は薬箱のことで、自分の家にある薬箱の中の薬はどれも役に立つものであり、必要なときに好きなように使えることから。,,『旧唐書』「元行沖伝」,２,薬籠中物（やくろうちゅうのもの）
法華三昧,ほっけざんまい（ほっけさんまい）,心を集中して法華経の奥義を極めること。 「三昧」は一つのことだけに心を集中して取り組むこと。,法華三昧（ほっけさんまい）,,２,
異類異形,いるいいぎょう,化け物や妖怪の姿などの、この世のものとは思えない姿を言い表す言葉。 「異類」は人間以外の生き物のこと。仏教の言葉では、仏や菩薩を含めた人間以外という意味で、餓鬼や畜生のことをいう。,,,,
異類中行,いるいちゅうぎょう,多く人々を救済するために、仏や菩薩がこの世に身を置くこと。 または、禅宗では指導者が修行者を導くために、様々な方法を取ること。 「異類」は違う種類という意味。 仏が異類の中を行くという意味から。,,『景徳伝灯録』「八」,５,
異類無礙,いるいむげ,異なっているもの同士が、何ものにも邪魔されることなく互いに通じ合うこと。 「異類」は違う種類という意味。 「無礙」は障害になるものがないということ。 仏教の言葉で、性質の異なる火と水が、何の妨げもなく通じ合うことをいう。 「異類無碍」とも書く。,異類無碍（いるいむげ）,,１,
異路同帰,いろどうき,やり方が違っていても結果は同じになるということのたとえ。 違う道を通っていても、同じ場所に到着するという意味から。 「路を異にして帰りを同じうす」とも読む。,,『淮南子』「本経訓」,５,殊塗同帰（しゅとどうき）
陰陰滅滅,いんいんめつめつ,雰囲気が暗く、陰気な気分になって元気がなくなる様子。 「陰」は薄暗くて寂しい様子。 「滅」は活力がなくなっていく様子。 「陰」と「滅」を重ねて強調した言葉。,陰々滅々（いんいんめつめつ）,,３,
嘉辰令月,かしんれいげつ,めでたい月日のこと。 「嘉辰」はめでたい日。 「令月」はめでたい月。,,,準１,
苛政猛虎,かせいもうこ,悪政は人を食べる虎よりも人々を苦しめるということ。 人々を苦しめる政治を戒める言葉。 「苛政」は人々を苦しめるひどい政治。 中国の思想家の孔子が道端で泣いている女性に出会い、その理由を聞くと姑と夫、息子が虎に殺されたといい、孔子がなぜこの地を離れないのかと聞くと、悪政がしかれていないからと答えたという故事から。 「苛政は虎よりも猛し」とも読む。,,『礼記』「檀弓・下」,２,
雅俗折衷,がぞくせっちゅう,上品で趣があることと、下品で低俗なことを取捨して使うこと。 または、小説の文体の一つで、雅語を文章に使い、文章中の口語に俗語を使うこと。,,,準２,
過大評価,かだいひょうか,実力や価値を実際よりも大きく評価すること。,,,,
紫幹翠葉,しかんすいよう,山の木々がみずみずしく青々としていて美しい様子。 「紫幹」は暗褐色の幹、「翠葉」は緑色の木の葉のこと。 「紫翠」と略すこともある。,,,準１,
火宅之境,かたくのさかい,災いに満ち溢れた境遇。 または、この世のたとえ。 火事が起こって燃えている最中の家ということから。,,『法華経』「火宅」,,火宅之門（かたくのもん） 三界火宅（さんがいのかたく）
急流勇退,きゅうりゅうゆうたい,官職などを潔く辞めること。 「勇退」は勇気をもって退くという意味から、きっぱりと職を辞すること。 船が勢いのよい流れの中で引き返すという意味から、仕事の勢いがあるときに潔く辞職することをいう言葉。,,『邵氏聞見録』「七」,５,
居安思危,きょあんしき,平和な世の中でも災難があった時のことを考えておき、いつも用心しておくべきであるという戒め。 「安きに居りて危うきを思う」とも読む。,,『春秋左氏伝』「襄公一一年」,,安居危思（あんきょきし）
挙案斉眉,きょあんせいび,夫婦の間にも礼儀を保って、お互いに尊敬しあっていること。 「案」は食事などを載せる膳のこと。 中国の後漢の梁鴻の妻である孟光は、梁鴻に食事を出すときは、膳を眉の高さまで捧げて敬っていたという故事から。 「案を挙ぐること眉に斉しくす」とも読む。,,『後漢書』「梁鴻伝」,２,孟光挙案（もうこうきょあん）
強悪強善,きょうあくきょうぜん,極悪な人物が心を入れ替えると、ものすごい善人になるということ。 または、悪に精通したものは、善にも精通しているということ。 「悪に強ければ善にも強し」とも読む。,,,５,
恐悦至極,きょうえつしごく,恐れつつしみながらも喜ぶこと。 自分よりも上の立場の人に、自分の喜びを言い表す言葉。 「至極」はこれよりも上はないということ。 「恭悦至極」とも書く。,恭悦至極（きょうえつしごく）,,,恐惶謹言（きょうこうきんげん）
阮籍青眼,げんせきせいがん,来客を心から歓迎すること。 中国の晋の賢者の阮籍は、気に入らない客には白い目をしてそっけなく扱い、気に入った客には青い目をして喜んで迎えたという故事から。,,『晋書』「阮籍伝」,１,
現世利益,げんぜりやく,仏教の信仰や修行をすることによって、この世で受けることができる仏や菩薩の恩恵のこと。 仏教の言葉で、仏教を信仰することで願いが叶うことをいう。 「現世」は「げんせ」とも、「げんせい」とも読む。,,,,
乾端坤倪,けんたんこんげい,天地の一番端のこと。 「乾端」は天の端、「坤倪」は地の果て。,,韓愈「南海神廟碑」,１,
懸頭刺股,けんとうしこ,苦労しながらも勉学に励むこと。 「懸頭」は縄を首にかけること。 「刺股」は穴をあけるための錐（きり）でふとももを刺すこと。 中国の漢の時代の楚の孫敬は、勉強をしているときに眠らないように、天井から下げた縄を首にかけて眠るとしまるようにして勉強を続けたという故事と、中国の戦国時代の蘇秦が眠くなるとふとももを錐で刺して、眠気を覚ましながら勉強したという二つの故事から。 「頭を懸け股を刺す」とも読む。 「刺股懸頭」ともいう。,刺股懸頭（しこけんとう）,"『戦国策』「秦策」,『蒙求』「孫敬閉戸」",２,円木警枕（えんぼくけいちん） 蛍雪之功（けいせつのこう） 懸頭錐股（けんとうすいこ） 懸梁刺股（けんりょうしこ） 懸梁錐股（けんりょうすいこ）
只管打坐,しかんたざ,雑念を捨ててわきめもふらず座禅を組むこと。 「只管」はひたすら、一心に。 「打坐」は座禅をすること。,,『正法眼蔵随聞記』,準１,
堅忍果決,けんにんかけつ,強い意志を持って耐え続け、そうと決めると思い切りよく行うこと。 「堅忍」は意志を守り続け我慢すること。 「果決」は思い切りよく、事を行うこと。,,吉田松陰「士規七則」,準２,
洪範九疇,こうはんきゅうちゅう,天下をうまく治めるための模範となる政治道徳のこと。 「洪範」は『書経』の篇名。 「九疇」は「洪範」で述べられている九つの大法のことで、天下を治めるための政治道徳をいう。,,『書経』「洪範」,１,
香美脆味,こうびぜいみ,極めて贅沢な食事のこと。 「香美」は香辛料のきいた、よい香りのする料理。 「脆味」は柔らかい菓子。,,『韓非子』「揚権」,準１,
敲氷求火,こうひょうきゅうか,間違っているやり方をしても、苦労するだけで目的を果たすことはできないということ。 火を起すために氷をたたくという意味から。 「氷を敲いて火を求む」とも読む。,,,１,縁木求魚（えんぼくきゅうぎょ） 煎水作氷（せんすいさくひょう）
好評嘖嘖,こうひょうさくさく,評判が非常によいこと。 「嘖嘖」はたくさんの人がほめていうこと。,好評嘖々（こうひょうさくさく）,,１,名声赫赫（めいせいかくかく）
咬文嚼字,こうぶんしゃくじ,文字の見た目や言葉の飾り方にばかりこだわって、内容や意味がない文章のこと。 学識を自慢するだけで、実際には役に立つことがない知識人を揶揄するときに使うことの多い言葉。 「文を咬み字を嚼む」とも読む。,,,１,彫虫篆刻（ちょうちゅうてんこく）
山中暦日,さんちゅうれきじつ,人里から離れて、山奥でのんびりと暮らすこと。 「暦日」は月日のこと。 「山中暦日無し」を略した言葉で、人里離れた山奥で暮らすと、ゆったりとしていて、月日がたつのを忘れてしまうという意味から。,,太上隠者「答入」,４,
斬釘截鉄,ざんていせってつ,毅然とした態度で、強い決断力があること。 「斬」と「截」はどちらも断ち切るということ。 釘や鉄を断ち切るという意味から。 元は禅宗の言葉で、妄想や煩悩などの迷いをすっぱりと断ち切ることをいう。 「釘を斬り鉄を截つ」とも読む。,,『碧巌録』「一四」,１,斬鉄截釘（ざんてつせってい）
参天弐地,さんてんじち,天や地のように大きな徳を積むこと。 「参天」は天と並ぶこと。 「弐地」は地と並ぶこと。 「天に参じ地に弐す」とも読む。,,『文選』揚雄「劇秦美新」,準１,
讒諂面諛,ざんてんめんゆ,他人の悪口を言って、相手に媚を売ること。 「讒諂」は他人の悪口を言って、相手に気に入られようと媚を売ること。 「面諛」は相手の目の前で直接こびへつらうこと。,,『孟子』「告子・下」,１,
士気高揚,しきこうよう,集団のやる気や熱意、意気込みが高くなること。または高くすること。 「士気」は戦いに臨む兵士のやる気のこと。 「高揚」は気分が高まる、または、高めること。,,,,
山濤識量,さんとうしきりょう,すぐれた判断力や考え、器量をもっている人のこと。 「山濤」は人の名前。 「識量」は知識や器量のこと。 竹林の七賢と呼ばれる賢者の一人である、山濤のようにすぐれた知識と器量があるということから。,,『蒙求』「山濤識量」,準１,
儒林棟梁,じゅりんのとうりょう,儒学者の世界で上にたって、重い責任を担っている人。 「儒林」は儒学を学んだり、研究している仲間のこと。 「棟梁」は人をまとめて率いる人、統率者のこと。,,,準１,
珠聯璧合,しゅれんへきごう,才能のある多くの人材が一つのところに集まること。 または、結婚を祝う言葉。 たくさんの宝石が連なりあうという意味から。 「珠連璧合」とも書く。,珠連璧合（しゅれんへきごう）,,準１,殊聯玉映（しゅれんぎょくえい）
株連蔓引,しゅれんまんいん,全ての関係した者を罰すること。 「株連」は植物の根のひとつのまとまりのこと。 「蔓引」は蔓を引いて抜くこと。 植物の蔓を引いて、根のまとまりを一気に引き抜くという意味から。,,蘇鉄,準１,
春蛙秋蝉,しゅんあしゅうぜん,全く意味がなく、ただうるさいだけの言論のこと。 春の蛙や秋の蝉のようにやかましいという意味から。,,『物理論』楊泉,準１,蛙鳴蝉噪（あめいせんそう） 驢鳴犬吠（ろめいけんばい）
純一無雑,じゅんいつむざつ（じゅんいつぶざつ）,他の物がまったく混ざってない様子。 または、邪心や偽りなどが一切無く純粋なこと。 「純一」や「無雑」はどちらも他のものが全く混ざっておらず純粋であるという意味で、同じ意味の語を重ねて強調した言葉。 「純一にして雑ること無し」とも読む。,純一無雑（じゅんいつぶざつ）,,５,純真無垢（じゅんしんむく）
折花攀柳,せっかはんりゅう,色町で遊女や芸者と遊ぶこと。 「折花」は花を手で折って取ること。 「攀柳」は柳の木に登ること。 美しい女性を花にたとえ、色町には多くの柳の木が植えられていたということから。,,,１,
